Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library,Party,Presidential candidate,Comment
261813197541354,侯友宜,侯友宜,7546418,121,Kuomintang (KMT),1,
152472278103133,賴清德,賴清德,4651598,63,Democratic Progressive Party (DPP),1,
136845026417486,柯文哲,柯文哲,2007803,38,Taiwan People's Party,1,
131181017972,中國國民黨 KMT,中國國民黨 KMT,928683,112,Kuomintang (KMT),0,
150336441057,民主進步黨,民主進步黨,867105,18,Democratic Progressive Party (DPP),0,
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),752671,434,Non-Party,0,
101318359366239,臺灣非賣藥電台,臺灣非賣藥電台,669547,142,Non-Party,0,Pro-KMT
748193915263885,羅廷瑋,羅廷瑋,571385,119,Kuomintang (KMT),0,
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,560856,359,Non-Party,0,
217517810298674,地方政治觀察家,皮爾森數據,556621,401,Non-Party,0,"This is a really werid, it's basically empty"
139800702555445,Victor Fang,方俊力,440795,11,Non-Party,0,
445352675829719,Nestlé 雀巢,Nestle Taiwan 台灣雀巢,419089,52,Non-Party,0,
891084220962935,時代力量 New Power Party,時代力量 New Power Party,368084,96,New Power Party,0,
456170574528072,蘇巧慧,蘇巧慧,342045,101,Democratic Progressive Party (DPP),0,
286487218798,遠見雜誌,遠見雜誌,339940,143,Non-Party,0,
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),327281,51,Non-Party,0,
102002721267282,王婉諭,王婉諭,315886,97,New Power Party,0,
699398610097783,劉仁照,劉仁照,282908,56,Democratic Progressive Party (DPP),0,
106801464127093,目目非營利 MUVE NPO,目目非營利,282049,42,Non-Party,0,
192165170847259,李眉蓁,李眉蓁,271671,184,Kuomintang (KMT),0,
1572670472973339,邱顯智,邱顯智,252156,306,New Power Party,0,
155906881874882,涂權吉,涂權吉,240587,114,Kuomintang (KMT),0,
180099508994152,張宏陸,張宏陸,230998,90,Democratic Progressive Party (DPP),0,
113115841660729,廖偉翔,廖偉翔,229185,76,Kuomintang (KMT),0,
114205273277203,中央選舉委員會,中央選舉委員會,210553,13,Non-Party,0,Government
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,203515,36,Non-Party,0,
348571125292077,台灣基進,台灣基進,201816,149,Taiwan Statebuilding Party,0,
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,197445,3,Non-Party,0,
682969731791064,正派 蔡明堂,正派 蔡明堂,195924,35,Kuomintang (KMT),0,
119042407856378,李全教,李全教,186696,16,Kuomintang (KMT),0,
727855827262810,林家興 Alfred Lin,林家興 Alfred Lin,164842,124,Kuomintang (KMT),0,
1510346199233482,鄭俊雄,鄭俊雄,163778,69,Kuomintang (KMT),0,
309036592617032,陳奕齊 - 新一,陳奕齊 - 新一,161903,225,Taiwan Statebuilding Party,0,
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,158604,51,Non-Party,0,
145850399314114,林志潔,林志潔,158571,43,Democratic Progressive Party (DPP),0,
1421185968116666,江肇國,江肇國,158308,42,Democratic Progressive Party (DPP),0,
368538816565950,林國春,林國春,157303,9,Kuomintang (KMT),0,
360823134063476,李柏毅 拚搏未來,李柏毅 拚搏未來,150545,37,Kuomintang (KMT),0,
102499747817312,賴品妤,賴品妤,147194,11,Democratic Progressive Party (DPP),0,
1413658198866930,柯建銘,柯建銘,147076,24,Democratic Progressive Party (DPP),0,
112038383879153,陳凝觀,These ads ran without a disclaimer,145132,1,Non-Party,0,
1610174722594689,鍾易仲  高雄市議員,鍾易仲  高雄市議員,144498,129,Kuomintang (KMT),0,
211122988933967,吳思瑤,立法院吳思瑤辦公室,142802,3,Democratic Progressive Party (DPP),0,
693907914395620,良杯製所 Oolab,良杯製所 Oolab,142431,4,Non-Party,0,
177161918975981,基督教芥菜種會,基督教芥菜種會,139664,94,Non-Party,0,
108581354897568,侯侯後援會,侯侯後援會,132934,41,Non-Party,0,Pro-KMT
117615981672812,李昆澤,李昆澤,131846,46,Democratic Progressive Party (DPP),0,
1141695282670470,張博洋,張博洋,129637,97,Taiwan Statebuilding Party,0,
219315794887869,聯合報,聯合報股份有限公司,128880,250,Non-Party,0,
115469883546400,風睿能源 Synera Renewable Energy,風睿能源,126448,31,Non-Party,0,
561929534174419,李宗霖Lí Chong-lîm,李宗霖Lí Chong-lîm,126356,57,Taiwan Statebuilding Party,0,
231202420952272,廖先翔,廖先翔,124993,14,Kuomintang (KMT),0,
291116504367985,張秀華,張秀華,123253,43,Kuomintang (KMT),0,
229534397097826,詹江村,詹江村,120978,3,Kuomintang (KMT),0,
122825514432837,黃健豪,黃健豪,119243,34,Kuomintang (KMT),0,
102764756435823,黃柏霖,黃柏霖,119024,55,Kuomintang (KMT),0,
412218235546115,徐巧芯,圖靈數位,117633,9,Kuomintang (KMT),0,
113021403762187,法律協會-債務協商 更生 清算 -全台服務,法律協會-債務協商 更生 清算 -全台服務,114103,3,Non-Party,0,
250273442196918,黃琤婷,黃琤婷,110970,45,Kuomintang (KMT),0,
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,107426,23,Non-Party,0,
106238585762958,民眾日爆,民眾日爆,105852,14,Non-Party,0,
157793094819088,魯明哲,魯明哲,105465,97,Kuomintang (KMT),0,
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,104588,20,Non-Party,0,
103495412794650,蔣欣璋,蔣欣璋,104544,71,Kuomintang (KMT),0,
569291869790551,趙少康,趙少康,101296,22,Kuomintang (KMT),0,
857493691013438,陳俊宇,陳俊宇,99063,97,Democratic Progressive Party (DPP),0,
139039575958771,史惟筑 x 台灣基進,史惟筑 x 台灣基進,96482,71,Taiwan Statebuilding Party,0,
211730475524462,大陸委員會,大陸委員會,92049,42,Non-Party,0,The government organ for dealing with China
638185719645087,曾柏瑜,曾柏瑜,87401,42,Democratic Progressive Party (DPP),0,
325269090863652,郭國文,郭國文,86989,87,Democratic Progressive Party (DPP),0,
101297205721630,邱若華,邱若華,86604,33,Kuomintang (KMT),0,
279997645348476,高雄小金剛許智傑,高雄小金剛許智傑,85610,57,Democratic Progressive Party (DPP),0,
276861822357066,高金素梅(吉娃斯．阿麗),高金素梅(吉娃斯．阿麗),84847,70,Unaffiliated,0,
103919981024103,陳以信,陳以信,84679,58,Kuomintang (KMT),0,
1627016040846724,謝志忠　幫您講話,謝志忠,84630,34,Democratic Progressive Party (DPP),0,
1556863941219141,陳素月SayYes,陳素月SayYes,83307,37,Democratic Progressive Party (DPP),0,
1855418728011324,鏡週刊,鏡週刊,83047,109,Non-Party,0,
191690867518507,江啟臣,江啟臣,82835,27,Kuomintang (KMT),0,
176313822239484,大台中民調有限公司,大台中民調有限公司,82815,11,Non-Party,0,
270750529766166,Mitsubishi Motors Taiwan,These ads ran without a disclaimer,80678,2,Non-Party,0,
2142074882525226,張智倫,張智倫,79698,89,Kuomintang (KMT),0,
107087617853581,李勝峯-理性鋒爆,/thethinkerlee,78539,48,Non-Party,0,
1448047902111768,顏寬恒,顏寬恒,77296,2,Kuomintang (KMT),0,
158025223269,今周刊,今周刊,76208,59,Non-Party,0,
