Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library,Party,Presidential candidate,Comment
1445613752336829,榮耀海線  丁學忠,榮耀海線  丁學忠,76018,11,Kuomintang (KMT),0,
805578896186426,邱鎮軍,邱鎮軍,75751,9,Kuomintang (KMT),0,
246517878713911,劉家昌,劉家昌工作室,74786,9,Non-Party,0,
188311137478,中時新聞網,時報資訊,74125,21,Non-Party,0,
107922969032863,曾聖凱,曾聖凱,74104,34,Democratic Progressive Party (DPP),0,
931837986851749,侯漢廷,侯漢廷,72549,23,Unaffiliated,0,
111455468891656,堅持．張廖萬堅,堅持．張廖萬堅,72046,81,Democratic Progressive Party (DPP),0,
491399324358361,宋楚瑜找朋友,宋楚瑜找朋友,71293,4,People First Party,0,
235679595900,民視新聞,民視新聞,70605,33,Non-Party,0,
306276709452272,文化部,文化部,70583,86,Non-Party,0,
123328137362044,楊曜聰,楊曜聰,70000,3,Kuomintang (KMT),0,
136875189518050,台北進行時,彭小芸,69593,102,Non-Party,0,
153414734741543,嘉義囝仔 林國慶,嘉義囝仔 林國慶,68536,42,Unaffiliated,0,
114678497514748,投資優我罩,These ads ran without a disclaimer,67513,137,Non-Party,0,
1587628301470657,林沛祥,林沛祥,66941,53,Kuomintang (KMT),0,
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,66613,25,Non-Party,0,
413127462412293,吳沛憶,吳沛憶,65293,32,Democratic Progressive Party (DPP),0,
1565628040332803,陳政宗,陳政宗,64847,58,Unaffiliated,0,
154631861234059,吳秉叡,吳秉叡,64835,106,Democratic Progressive Party (DPP),0,
281219301931458,蔡其昌,蔡其昌,64071,45,Democratic Progressive Party (DPP),0,
122093021468019169,徐富癸 民進黨屏南立委參選人,徐富癸 民進黨屏南立委參選人,63178,60,Democratic Progressive Party (DPP),0,
1713733732227459,張美慧,張美慧,60570,25,Democratic Progressive Party (DPP),0,
664175463714845,50+：用新的方法，創造自己的理想老後,50＋好好：用新的方法，創造自己的理想老後,58006,12,Non-Party,0,
1537741526464370,桃園市議長邱奕勝,桃園市議長邱奕勝,57091,42,Kuomintang (KMT),0,
1636733309982216,黃明賢 屏北立法委員參選人,黃明賢 屏北立法委員參選人,56789,18,Kuomintang (KMT),0,
114425630022840,陳昆和,陳昆和,56429,39,Unaffiliated,0,
109243777232364,ReTissue 在乎衛生紙,ReTissue 在乎衛生紙,56210,31,Non-Party,0,
189770054213883,來趣湖西,來趣湖西,54560,86,Non-Party,0,
109132288868138,康世明,康世明,53710,17,Democratic Progressive Party (DPP),0,
106199194706153,MeToo我挺你,MeToo我挺你,53214,7,Non-Party,0,
390569611008641,願景工程 Vision Project,願景工程基金會,52669,117,Non-Party,0,
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,52298,189,Non-Party,0,same as 217517810298674
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,49064,33,Non-Party,0,
104448980930404,立法委員 莊競程,立法委員 莊競程,48653,54,Democratic Progressive Party (DPP),0,
335544036485779,經濟部,經濟部,48225,17,Non-Party,0,
1395353653942251,吳崢,吳崢,46195,14,Democratic Progressive Party (DPP),0,
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,45904,234,Non-Party,0,
114742151241984,Leatai磊泰 手帳日誌,Leatai磊泰 手帳日誌,45322,13,Non-Party,0,
265164976140,桃園區立委候選人 范綱祥 律師/環工技師,桃園區立委候選人 范綱祥 律師/環工技師,44311,8,Democratic Progressive Party (DPP),0,
529381297594082,慢島生活 Island Time,慢島生活 Island Time,43263,152,Non-Party,0,
368397373312842,游顥,游顥,42775,30,Kuomintang (KMT),0,
1890263611238474,陳冠廷 Kuan-Ting Chen,陳冠廷 Kuan-Ting Chen,42689,74,Democratic Progressive Party (DPP),0,
1517688331780035,王興煥（格瓦推）,王興煥（格瓦推）,41732,60,Taiwan Statebuilding Party,0,
2213635748884193,陳秀寶,陳秀寶,41561,11,Democratic Progressive Party (DPP),0,
118501297946126,聯經人文學校．LinkingSchool,聯經出版,40634,21,Non-Party,0,
115920531374455,明夷工作室MingYi Design,明夷工作室MingYi Design,40082,37,Non-Party,0,
1833187540297220,牛煦庭,牛煦庭,38843,23,Kuomintang (KMT),0,
606321216096498,李彥秀,李彥秀,38763,35,Kuomintang (KMT),0,
652438848137404,連勝文,連勝文,38621,21,Kuomintang (KMT),0,
2017917521572757,李茂芊,李茂芊,38485,3,Kuomintang (KMT),0,
202188887719,高嘉瑜,高嘉瑜,38001,20,Democratic Progressive Party (DPP),0,
187848684616254,李坤城,李坤城,37971,44,Non-Party,0,
211122988933967,吳思瑤,立法委員吳思瑤辦公室,37683,11,Democratic Progressive Party (DPP),0,
131173063420294,陳菁徽醫師,陳菁徽醫師,37217,5,Non-Party,0,
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,37165,13,Non-Party,0,
105497726206174,立法委員 王美惠,立法委員王美惠,36934,38,Democratic Progressive Party (DPP),0,
110699089014688,三立新聞,三立新聞,36820,6,Non-Party,0,
104624290080479,張育美,張育美,36720,28,Kuomintang (KMT),0,
105599542571067,姚正玉 立委參選人,姚正玉 立委參選人,36682,34,Kuomintang (KMT),0,
233645830550999,黃世杰,黃世杰,36463,14,Democratic Progressive Party (DPP),0,
106039135095156,投資伊森,These ads ran without a disclaimer,36175,89,Non-Party,0,
112782591854000,聽見在地的聲音,聽見在地的聲音,35237,52,Non-Party,0,
179828222070223,登真-邱議瑩,登真-邱議瑩,35074,35,Democratic Progressive Party (DPP),0,
354577201716619,葉元之．板橋,葉元之．板橋,34649,15,Kuomintang (KMT),0,
116528424865261,勞動黨 許文忠 - 阿忠雙博士 作伙找出路,勞動黨 許文忠 - 阿忠雙博士 作伙找出路,34510,59,Labor Party,0,
108706848449552,HD CORPORATE,HD CORPORATE,34196,5,Non-Party,0,
